matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_479362227,1698,127,8,29,89346,20881,745,1832,558,60675,75,762,365,277,374,144,27,21,True,1,False,2,False,0,True,5,53307,True,44,True,1,98,35,238,22,99,164,19,104,81,63,15,11,122,53,89,89,55,20,25,39,100,True
OC1_479362227,1698,121,13,34,68681,25094,1192,610,475,48904,66,816,513,168,202,44,18,31,False,0,True,2,False,0,False,1,25469,False,29,False,0,164,19,104,81,63,98,35,238,22,99,15,11,122,53,89,89,55,20,25,39,200,False
OC1_479220121,1819,127,10,14,95864,31412,912,619,576,63363,79,911,426,248,291,39,25,24,True,1,False,1,True,3,False,9,79381,False,40,False,0,164,131,91,18,53,10,64,134,51,26,55,32,39,234,12,1,84,8,99,25,200,True
OC1_479220121,1819,115,11,20,87884,23706,1194,756,582,54779,76,640,504,386,307,39,33,17,False,0,True,3,False,0,True,2,39178,True,31,True,2,10,64,134,51,26,164,131,91,18,53,55,32,39,234,12,1,84,8,99,25,100,False
OC1_476249148,2284,178,7,13,93045,57685,770,732,819,69514,86,755,700,224,304,39,35,26,True,1,False,3,True,1,False,8,64139,False,31,False,0,86,131,8,119,412,875,9,104,15,99,63,777,25,266,75,55,141,420,350,89,100,True
OC1_476249148,2284,169,8,18,112961,31329,1010,1426,754,62278,78,421,406,268,295,47,16,27,False,0,True,3,False,0,True,6,46845,True,21,False,0,875,9,104,15,99,86,131,8,119,412,63,777,25,266,75,55,141,420,350,89,200,False
OC1_476049255,1955,139,3,20,112261,35314,883,1199,555,64424,77,618,435,228,331,78,39,28,False,0,False,1,True,1,True,6,43907,True,43,False,0,58,202,104,48,99,54,121,119,412,166,223,246,11,53,63,25,223,35,420,157,100,True
OC1_476049255,1955,117,6,15,96311,31187,1114,1959,602,60846,73,991,485,304,287,55,26,40,True,1,True,4,False,0,False,6,66430,False,31,True,2,54,121,119,412,166,58,202,104,48,99,223,246,11,53,63,25,223,35,420,157,200,False
OC1_472805563,1377,81,8,23,75458,24517,375,1165,516,51566,66,743,245,203,110,81,28,22,False,0,True,2,True,2,True,11,46450,False,37,True,1,17,35,55,67,350,122,68,34,18,80,517,81,235,-1,223,223,31,81,39,103,100,True
OC1_472805563,1377,83,4,16,43907,11120,966,1087,443,36513,57,559,264,151,180,66,28,19,False,0,False,0,False,0,False,0,3953,True,20,False,0,122,68,34,18,80,17,35,55,67,350,517,81,235,-1,223,223,31,81,39,103,200,False
