matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_490546013,193,3,0,7,2808,641,0,49,45,5559,13,768,42,23,15,0,2,4,False,0,False,0,False,0,False,0,0,True,2,False,0,39,246,131,81,63,875,107,517,67,412,119,16,7,711,64,350,236,164,104,-1,100,True
OC1_490546013,193,1,0,6,2021,1477,18,73,21,4294,11,1062,35,11,13,0,2,3,False,0,False,0,False,0,False,0,285,False,0,False,0,875,107,517,67,412,39,246,131,81,63,119,16,7,711,64,350,236,164,104,-1,200,False
OC1_490545140,1497,106,9,17,83249,27260,489,755,536,57048,71,1248,720,193,476,40,29,20,True,1,True,3,True,3,False,11,67822,True,33,False,0,164,203,131,157,99,876,234,4,498,412,350,875,91,-1,7,35,350,53,267,8,200,True
OC1_490545140,1497,108,4,12,55430,16390,838,1171,515,42928,61,979,426,297,181,48,31,20,False,0,False,0,False,0,True,1,7993,False,20,False,0,876,234,4,498,412,164,203,131,157,99,350,875,91,-1,7,35,350,53,267,8,100,False
OC1_490534745,1238,108,11,20,60677,13063,303,553,519,49648,64,1460,434,261,623,36,13,24,False,0,True,1,True,2,True,10,47132,False,35,True,1,164,91,45,222,32,24,141,711,523,350,114,17,64,246,236,14,104,111,81,107,100,True
OC1_490534745,1238,74,8,13,42228,15763,865,866,391,32549,55,1374,288,331,137,39,16,24,False,0,False,0,False,0,False,0,4687,True,12,False,0,24,141,711,523,350,164,91,45,222,32,114,17,64,246,236,14,104,111,81,107,200,False
OC1_490543422,1728,174,19,26,65974,23456,408,802,726,60207,74,1500,758,251,281,32,18,34,True,1,False,3,True,3,True,11,63407,True,26,False,0,24,245,157,81,412,223,104,711,21,101,350,164,121,236,203,203,350,17,32,64,100,True
OC1_490543422,1728,131,21,28,60562,17659,640,2064,584,45116,65,1025,385,185,139,58,16,36,False,0,True,1,False,0,False,0,17802,False,15,True,1,223,104,711,21,101,24,245,157,81,412,350,164,121,236,203,203,350,17,32,64,200,False
OC1_490464877,1698,137,13,31,107142,22466,785,1188,655,66183,80,1426,405,119,104,118,26,19,True,1,False,2,True,3,True,11,83601,True,42,True,2,17,11,711,67,432,31,107,4,81,35,350,121,85,84,32,236,122,114,104,235,200,True
OC1_490464877,1698,114,17,26,73525,20803,1221,1436,609,49123,72,664,540,404,226,109,23,29,False,0,True,2,False,0,False,0,28439,False,22,False,0,31,107,4,81,35,17,11,711,67,432,350,121,85,84,32,236,122,114,104,235,100,False
OC1_490473050,1689,175,22,26,88122,26005,583,778,643,59217,75,1586,470,305,304,58,36,19,True,1,True,3,True,3,True,11,75472,False,28,True,2,104,91,103,360,117,164,120,99,147,29,16,234,267,32,9,17,111,23,203,350,100,True
OC1_490473050,1689,109,19,27,75394,27334,843,1330,619,45599,68,2039,556,151,433,42,21,34,False,0,False,0,False,0,False,0,5774,True,19,False,0,164,120,99,147,29,104,91,103,360,117,16,234,267,32,9,17,111,23,203,350,200,False
OC1_489562914,1075,75,6,12,34253,9698,155,275,389,36505,52,1914,318,199,161,20,12,19,False,0,True,1,True,1,True,7,34359,True,21,False,1,85,254,67,246,350,36,91,126,119,497,81,236,79,17,121,236,30,7,777,266,100,True
OC1_489562914,1075,43,7,16,20065,9607,358,688,396,27911,48,1167,228,199,178,40,21,8,False,0,False,1,False,0,False,1,19846,False,6,True,1,36,91,126,119,497,85,254,67,246,350,81,236,79,17,121,236,30,7,777,266,200,False
OC1_489467313,1502,149,13,16,66092,24273,386,1002,524,52534,69,1208,381,304,151,50,31,13,True,1,True,3,True,2,True,9,61571,False,25,False,0,62,59,4,21,235,14,91,7,523,497,245,-1,164,55,104,350,121,166,245,34,200,True
OC1_489467313,1502,85,13,22,50543,13397,704,919,568,41125,62,2042,249,451,279,42,23,16,False,0,False,0,False,0,False,2,16819,True,16,False,0,14,91,7,523,497,62,59,4,21,235,245,-1,164,55,104,350,121,166,245,34,100,False
OC1_489465985,1743,141,16,22,103456,36368,862,1527,504,56814,75,1490,1020,178,403,53,34,22,True,1,False,1,True,2,False,7,40433,False,39,False,0,223,28,157,145,40,84,20,23,101,63,60,119,121,711,81,141,777,350,245,25,200,True
OC1_489465985,1743,149,3,16,95227,33668,1198,853,532,53920,69,1585,456,252,489,100,39,17,False,0,True,3,False,0,True,4,67463,True,28,True,2,84,20,23,101,63,223,28,157,145,40,60,119,121,711,81,141,777,350,245,25,100,False
OC1_489445165,1446,103,12,17,67973,26294,456,705,533,52631,66,1956,774,157,303,39,23,28,True,1,True,3,True,1,True,9,75801,False,28,True,2,92,876,157,166,57,39,5,27,202,117,7,238,121,54,236,523,246,350,23,7,100,True
OC1_489445165,1446,89,11,17,51741,16612,753,854,455,39673,59,976,402,192,163,46,19,31,False,0,False,0,False,0,False,1,9311,True,19,False,0,39,5,27,202,117,92,876,157,166,57,7,238,121,54,236,523,246,350,23,7,200,False
OC1_489473667,1449,136,24,35,66151,36987,390,1246,497,49893,65,1611,542,340,216,49,33,22,True,1,True,3,True,1,True,8,73873,False,27,True,2,266,19,61,523,412,164,91,17,145,432,39,21,55,236,67,246,154,120,23,-1,200,True
OC1_489473667,1449,102,20,27,63269,15692,730,894,534,44397,61,1583,324,280,354,74,36,15,False,0,False,0,False,0,False,4,22707,True,20,False,0,164,91,17,145,432,266,19,61,523,412,39,21,55,236,67,246,154,120,23,-1,100,False
OC1_489472925,1490,162,19,27,57454,25899,327,660,587,49137,66,2255,468,234,370,36,30,16,False,0,True,4,False,0,False,5,61600,False,25,False,0,85,120,91,21,89,39,203,517,115,32,236,28,350,166,23,147,34,23,246,121,100,True
OC1_489472925,1490,111,11,17,53288,13337,783,820,559,43158,61,979,531,153,285,37,18,15,False,0,False,0,False,0,True,5,44842,True,14,True,1,39,203,517,115,32,85,120,91,21,89,236,28,350,166,23,147,34,23,246,121,200,False
OC1_489348780,1668,151,18,27,75404,29215,360,1010,578,56043,72,738,347,336,242,52,30,20,True,1,True,3,True,1,True,8,85308,True,28,True,2,106,104,7,236,267,26,91,90,119,44,350,64,240,32,238,89,64,141,777,166,100,True
OC1_489348780,1668,123,13,26,66692,22582,844,1162,630,49031,67,879,538,591,512,31,35,19,False,0,False,0,False,0,False,2,19377,False,17,False,0,26,91,90,119,44,106,104,7,236,267,350,64,240,32,238,89,64,141,777,166,200,False
OC1_489166574,1381,134,13,21,78956,11640,438,1068,476,52745,66,1688,409,149,209,47,28,20,True,1,True,3,True,1,True,7,72173,True,38,True,2,104,163,238,360,412,41,60,23,222,201,234,64,555,246,245,203,119,350,39,-1,200,True
OC1_489166574,1381,89,14,19,49630,15830,855,522,510,43761,56,1018,385,171,213,154,27,18,False,0,False,0,False,0,False,5,18249,False,18,False,0,41,60,23,222,201,104,163,238,360,412,234,64,555,246,245,203,119,350,39,-1,100,False
OC1_488981498,1637,153,11,17,65937,35284,555,858,618,56213,71,1400,593,248,241,44,26,17,True,1,False,2,True,2,True,9,82625,False,26,False,0,48,99,120,21,235,51,121,238,147,79,350,55,236,246,24,350,517,23,114,164,100,True
OC1_488981498,1637,136,21,28,65456,25301,737,948,580,47266,66,1273,604,286,210,62,17,32,False,0,True,2,False,0,False,3,44746,True,20,True,2,51,121,238,147,79,48,99,120,21,235,350,55,236,246,24,350,517,23,114,164,200,False
