matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_482893162,2323,182,12,19,146153,44346,1411,1504,684,75929,86,865,972,642,651,451,43,35,True,1,False,2,True,2,True,8,90640,True,48,False,0,92,76,238,22,43,875,245,246,81,350,98,117,16,127,104,24,89,236,7,35,100,True
OC1_482893162,2323,168,18,26,141874,43535,1611,1537,698,70114,85,1544,784,441,320,69,30,44,False,1,True,3,False,0,False,4,42991,False,35,True,2,875,245,246,81,350,92,76,238,22,43,98,117,16,127,104,24,89,236,7,35,200,False
OC1_482871820,1724,145,9,17,77276,21904,470,1209,655,57575,73,1615,423,246,346,60,21,25,True,1,False,1,True,1,True,6,69960,False,28,True,2,517,203,99,119,412,150,9,42,236,25,39,105,23,64,360,223,234,67,141,350,100,True
OC1_482871820,1724,179,15,23,61206,20926,773,1171,628,50183,67,1401,331,223,158,132,22,15,False,0,True,3,False,0,False,4,31839,True,19,False,0,150,9,42,236,25,517,203,99,119,412,39,105,23,64,360,223,234,67,141,350,200,False
OC1_482870950,1226,65,7,16,68827,16326,266,756,475,47991,63,2007,449,192,175,20,15,23,False,0,True,3,True,2,True,7,59605,True,36,True,2,875,203,10,81,143,14,104,39,498,235,64,238,23,777,35,157,517,55,53,420,200,True
OC1_482870950,1226,64,7,10,40267,11953,852,804,413,35679,54,1176,319,118,125,22,22,15,False,0,False,0,False,0,False,2,12513,False,13,False,0,14,104,39,498,235,875,203,10,81,143,64,238,23,777,35,157,517,55,53,420,100,False
OC1_482839537,2134,185,10,20,124096,71290,1175,1347,658,88221,89,2213,789,655,420,409,24,40,True,2,False,2,True,2,True,9,86447,True,57,True,1,48,76,555,145,26,17,121,777,67,350,23,35,34,111,28,166,234,34,9,35,100,True
OC1_482839537,2134,93,3,13,153352,24654,1953,955,763,68469,83,1176,615,370,164,114,25,41,False,0,True,3,False,2,False,10,67327,False,32,False,1,17,121,777,67,350,48,76,555,145,26,23,35,34,111,28,166,234,34,9,35,200,False
OC1_451409198,1073,65,6,12,37058,18392,187,551,334,35750,54,1412,267,162,136,17,11,18,False,0,False,2,True,1,True,5,34864,True,21,True,1,875,245,246,67,267,122,203,84,202,117,8,235,35,82,34,38,777,121,238,887,100,True
OC1_451409198,1073,67,8,14,29301,10532,494,373,332,26678,47,864,237,126,113,27,15,8,False,0,True,1,False,0,False,1,9697,False,9,False,0,122,203,84,202,117,875,245,246,67,267,8,235,35,82,34,38,777,121,238,887,200,False
OC1_451386476,2312,230,16,29,163383,42554,1485,1293,785,80785,89,1002,666,368,261,66,37,28,False,0,True,5,True,2,True,9,96269,False,45,True,2,82,5,236,67,117,887,234,91,81,89,35,875,142,360,54,164,18,25,34,35,200,True
OC1_451386476,2312,184,40,39,122816,49171,1598,1322,754,76780,88,1401,952,412,659,136,32,45,True,3,False,1,False,1,False,8,94961,True,39,False,0,887,234,91,81,89,82,5,236,67,117,35,875,142,360,54,164,18,25,34,35,100,False
OC1_451394695,1058,72,5,10,63107,22305,131,351,352,43382,55,1156,332,228,221,87,14,21,False,0,False,0,True,1,True,10,37739,True,39,True,1,62,60,23,18,26,64,154,91,67,350,82,145,34,234,238,245,35,777,29,887,200,True
OC1_451394695,1058,30,4,13,35941,19542,699,587,224,21984,42,1306,203,303,241,17,18,23,False,0,True,1,False,0,False,0,7518,False,5,False,0,64,154,91,67,350,62,60,23,18,26,82,145,34,234,238,245,35,777,29,887,100,False
OC1_451373289,1475,105,16,23,75530,29931,603,942,484,51924,65,1806,382,149,175,30,19,22,False,0,True,3,True,1,True,8,56647,True,35,True,1,114,131,80,29,412,64,234,555,145,161,28,164,34,63,-1,76,89,35,245,10,100,True
OC1_451373289,1475,110,11,18,61853,16184,955,613,443,43437,59,985,385,300,362,43,17,29,False,0,False,0,False,0,False,1,11106,False,22,False,0,64,234,555,145,161,114,131,80,29,412,28,164,34,63,-1,76,89,35,245,10,200,False
OC1_451380689,1562,118,13,19,108189,35396,639,851,497,57436,71,1678,508,259,135,49,20,28,True,1,False,3,True,2,True,8,72274,True,41,True,2,875,121,25,360,111,75,20,112,18,235,28,34,29,164,84,-1,234,110,62,28,100,True
OC1_451380689,1562,101,11,20,74097,29929,1077,941,502,45912,63,805,360,154,403,52,19,28,False,0,True,1,False,0,False,2,25399,False,21,False,0,75,20,112,18,235,875,121,25,360,111,28,34,29,164,84,-1,234,110,62,28,200,False
OC1_451357473,2122,171,10,21,159894,48050,1216,962,754,78286,87,1357,630,251,330,125,32,42,False,1,False,4,False,1,False,8,99227,False,54,True,1,114,131,1,18,201,23,76,245,145,412,164,84,38,235,117,121,238,25,875,38,100,True
OC1_451357473,2122,165,10,17,122997,54742,1931,596,655,69806,82,992,556,361,516,359,48,34,True,1,True,2,True,1,True,8,52097,True,38,False,1,23,76,245,145,412,114,131,1,18,201,164,84,38,235,117,121,238,25,875,38,200,False
OC1_451336626,1427,98,10,18,80168,30230,365,960,514,51691,68,1082,569,350,232,93,18,27,False,0,True,3,True,2,True,10,70051,True,38,True,2,114,64,1,119,101,62,35,112,81,50,117,38,84,164,234,9,238,18,5,517,200,True
OC1_451336626,1427,87,8,14,60087,13319,984,849,481,39690,59,1303,384,136,215,112,29,19,False,0,False,0,False,0,False,1,10291,False,18,False,0,62,35,112,81,50,114,64,1,119,101,117,38,84,164,234,9,238,18,5,517,100,False
OC1_393620921,1388,129,19,28,75307,19349,352,845,464,54616,67,1127,383,113,198,33,12,26,True,1,True,2,True,2,True,10,68476,True,35,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,34,81,55,25,777,121,350,98,245,517,100,True
OC1_393620921,1388,87,4,15,44127,18678,757,499,480,37063,57,1355,246,184,131,129,27,17,False,0,False,1,False,0,False,0,13100,False,13,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,34,81,55,25,777,121,350,98,245,517,200,False
OC1_393616943,1181,59,5,16,61020,17321,242,971,491,45736,59,1029,373,226,150,22,16,23,False,0,False,1,True,2,True,11,48344,True,29,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,360,98,84,122,104,141,350,89,164,238,200,True
OC1_393616943,1181,59,8,16,38680,16347,668,293,378,31322,52,937,440,162,112,34,24,14,False,0,True,1,False,0,False,0,2558,False,12,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,360,98,84,122,104,141,350,89,164,238,100,False
OC1_393585604,1719,147,6,20,132957,39984,814,901,547,63729,75,1148,583,238,370,72,26,31,False,0,False,3,True,3,True,10,48880,True,54,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,202,29,350,81,55,163,20,127,350,54,200,True
OC1_393585604,1719,129,12,18,73654,38993,1608,1216,461,49559,67,903,434,224,275,73,28,22,False,0,True,1,False,0,False,1,16946,False,27,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,202,29,350,81,55,163,20,127,350,54,100,False
OC1_490575599,1879,182,12,20,91749,36346,758,845,575,62880,78,1322,586,285,247,64,27,24,True,1,True,4,True,1,True,6,78883,False,39,True,1,223,121,105,498,555,10,77,4,21,63,142,-1,39,20,64,350,157,51,141,104,100,True
OC1_490575599,1879,163,15,20,79883,20695,1241,679,572,54655,70,1115,411,422,309,137,39,24,False,0,False,1,False,0,False,4,33516,True,23,False,0,10,77,4,21,63,223,121,105,498,555,142,-1,39,20,64,350,157,51,141,104,200,False
OC1_490564279,2714,266,3,23,204756,51176,2487,2628,911,96533,90,1827,557,451,457,94,32,54,True,1,True,3,False,1,True,7,70144,True,64,True,1,82,238,54,498,555,85,245,23,202,32,119,105,60,164,12,8,119,38,78,157,200,True
OC1_490564279,2714,161,5,21,217291,60333,2563,1304,763,93080,88,998,614,309,502,92,35,59,False,1,False,4,True,5,False,11,90393,False,64,False,0,85,245,23,202,32,82,238,54,498,555,119,105,60,164,12,8,119,38,78,157,100,False
OC1_489354155,1209,89,11,15,57548,27326,222,501,393,40944,58,658,290,238,141,94,19,15,False,0,True,3,True,1,False,5,43029,True,29,False,1,223,60,80,498,267,164,246,13,145,350,10,711,-1,101,33,17,103,91,21,89,200,True
OC1_489354155,1209,56,4,11,40262,11237,713,487,361,31146,52,1216,386,290,234,15,13,21,False,0,False,0,False,0,True,1,13961,False,12,True,1,164,246,13,145,350,223,60,80,498,267,10,711,-1,101,33,17,103,91,21,89,100,False
OC1_489299703,2272,242,19,28,109580,46137,1187,1540,807,77335,87,1625,679,405,318,80,32,40,False,1,False,2,False,2,False,10,64042,False,34,False,0,24,56,777,236,267,10,78,68,21,99,39,17,360,111,104,711,-1,141,166,1,100,True
OC1_489299703,2272,210,26,35,117902,23582,962,1822,706,71487,82,1604,545,482,577,61,28,42,True,1,True,4,True,1,True,7,85758,True,41,True,1,10,78,68,21,99,24,56,777,236,267,39,17,360,111,104,711,-1,141,166,1,200,False
OC1_489309220,1104,80,7,13,47972,11699,238,550,416,39426,57,1445,490,187,150,27,9,26,False,0,True,2,False,0,True,3,47129,True,29,True,2,164,121,777,21,555,17,77,246,157,412,238,55,5,67,517,350,141,223,234,84,200,True
OC1_489309220,1104,57,10,16,35254,5011,567,619,346,28784,49,1003,300,101,145,88,17,24,False,0,False,0,False,0,False,0,10426,False,10,False,0,17,77,246,157,412,164,121,777,21,555,238,55,5,67,517,350,141,223,234,84,100,False
OC1_488206410,1792,172,14,18,104374,21830,688,1453,634,63854,76,988,329,457,226,48,35,27,False,0,True,2,True,1,True,9,45846,True,38,False,0,106,10,4,21,9,62,11,517,29,16,203,166,523,117,350,67,114,56,90,39,100,True
OC1_488206410,1792,146,15,23,66021,38438,1017,842,538,52142,73,1147,335,151,283,77,19,33,True,1,False,3,False,0,False,0,63924,False,24,True,2,62,11,517,29,16,106,10,4,21,9,203,166,523,117,350,67,114,56,90,39,200,False
OC1_420877296,1680,135,10,14,74574,37321,703,722,465,54362,72,1176,347,233,163,32,31,19,True,1,False,2,True,1,False,7,64372,False,30,False,1,10,141,55,145,235,23,121,91,222,526,150,62,18,34,56,-1,53,777,89,67,200,True
OC1_420877296,1680,100,5,9,75871,27864,1011,636,534,49505,66,842,433,276,363,53,20,36,False,0,True,2,False,0,True,3,30681,True,29,True,1,23,121,91,222,526,10,141,55,145,235,150,62,18,34,56,-1,53,777,89,67,100,False
OC1_420871999,2181,186,16,31,133319,66960,1509,1272,644,75195,85,1323,671,437,181,71,44,25,True,1,True,4,True,4,False,9,88661,True,48,True,1,266,62,4,222,432,10,35,90,145,12,53,120,412,77,122,45,147,29,28,150,100,True
OC1_420871999,2181,213,19,29,145040,38290,1500,2265,758,71435,85,1319,412,375,447,87,45,27,False,1,False,1,False,1,True,5,36588,False,40,False,0,10,35,90,145,12,266,62,4,222,432,53,120,412,77,122,45,147,29,28,150,200,False
OC1_420846940,1956,146,12,15,115154,37938,1283,1295,625,63161,81,1291,302,274,323,102,40,25,False,1,False,2,True,1,False,8,46662,True,34,True,1,10,35,91,145,412,266,120,268,202,101,54,28,147,150,122,121,60,238,28,77,100,True
OC1_420846940,1956,181,16,29,111020,66879,1292,971,603,64981,79,921,766,356,246,92,38,24,True,1,True,3,False,0,True,5,93408,False,43,False,0,266,120,268,202,101,10,35,91,145,412,54,28,147,150,122,121,60,238,28,77,200,False
OC1_420832186,1825,181,8,19,101666,47212,516,1227,566,60051,74,1206,412,575,339,90,36,25,True,1,False,3,True,1,True,8,79329,True,38,True,1,10,35,246,202,350,75,72,84,157,3,18,234,150,28,245,77,145,238,777,122,200,True
OC1_420832186,1825,91,11,23,56458,11814,1065,1390,556,44710,65,742,726,215,266,47,27,29,False,0,True,1,False,0,False,0,18591,False,17,False,0,75,72,84,157,3,10,35,246,202,350,18,234,150,28,245,77,145,238,777,122,100,False
OC1_420825791,1496,119,6,11,71810,23562,435,1044,478,53362,69,1184,254,193,181,112,29,17,False,0,True,3,True,3,True,11,58051,False,39,True,1,10,35,80,51,25,164,64,8,81,235,350,117,777,145,150,104,111,234,17,18,100,True
OC1_420825791,1496,75,2,6,50891,23191,1003,486,465,39552,60,1457,618,170,201,29,29,15,False,0,False,0,False,0,False,1,6883,True,15,False,0,164,64,8,81,235,10,35,80,51,25,350,117,777,145,150,104,111,234,17,18,200,False
OC1_418131633,2130,195,22,33,136858,57609,1094,732,698,71849,85,1350,509,339,386,70,39,29,False,1,True,5,True,2,True,10,97174,False,39,True,1,62,36,18,15,267,266,59,103,51,143,2,106,-1,-1,53,350,777,77,86,234,200,True
OC1_418131633,2130,201,19,28,113056,54667,1467,1239,720,65661,80,1162,628,367,360,88,24,36,True,1,False,1,False,0,False,3,59478,True,31,False,1,266,59,103,51,143,62,36,18,15,267,2,106,-1,-1,53,350,777,77,86,234,100,False
OC1_418130841,1523,165,11,15,68031,34821,335,923,558,52611,68,758,278,278,262,36,26,21,True,1,True,4,True,2,False,9,66618,False,30,False,1,10,9,238,235,80,58,246,517,222,16,245,412,-1,18,28,2,147,119,6,145,100,True
OC1_418130841,1523,104,10,18,37709,29204,792,686,519,40564,62,1011,341,282,216,36,15,28,False,0,False,0,False,0,True,1,21191,True,14,True,1,58,246,517,222,16,10,9,238,235,80,245,412,-1,18,28,2,147,119,6,145,200,False
OC1_415029293,1763,115,8,16,101722,30247,899,1564,562,63656,77,874,414,259,351,199,35,24,True,1,False,3,True,2,False,8,82116,False,47,False,1,11,516,38,236,43,10,121,147,145,235,24,28,33,114,238,120,350,-1,234,77,200,True
OC1_415029293,1763,107,8,14,78233,31299,1314,859,543,54390,69,848,379,238,251,45,18,28,False,0,True,1,False,0,True,2,35519,True,31,True,1,10,121,147,145,235,11,516,38,236,43,24,28,33,114,238,120,350,-1,234,77,100,False
