matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_393708356,1852,56,1,10,95606,36654,878,824,518,60502,75,423,464,213,154,32,32,21,True,1,False,1,True,3,True,9,49421,True,43,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,6,777,99,238,84,875,63,266,157,111,200,True
OC1_393708356,1852,105,3,5,74843,23935,1178,1233,423,48079,71,505,364,251,219,39,28,33,False,0,True,2,False,0,False,1,23606,False,30,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,6,777,99,238,84,875,63,266,157,111,100,False
OC1_393714943,1854,121,4,16,102117,34586,968,1336,626,61600,78,467,409,189,201,83,18,34,False,0,True,4,True,3,False,11,57986,False,39,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,13,105,360,2,350,360,143,238,84,526,200,True
OC1_393714943,1854,67,3,21,74015,27955,1270,1397,502,51081,73,553,556,285,267,48,18,32,False,0,False,0,False,0,True,1,16710,True,29,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,13,105,360,2,350,360,143,238,84,526,100,False
OC1_393710869,1448,63,3,8,51209,23131,383,2300,414,37044,61,367,426,156,135,108,20,13,False,0,True,3,False,0,True,2,33400,False,14,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,50,24,238,63,36,89,45,54,122,7,100,True
OC1_393710869,1448,32,0,20,49490,22115,461,1037,498,38140,61,603,589,76,177,24,22,10,False,0,False,0,False,0,False,2,20473,True,14,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,50,24,238,63,36,89,45,54,122,7,200,False
OC1_393026470,2103,116,2,8,77526,27392,1212,1195,611,61753,78,350,543,221,406,27,32,20,False,0,True,4,True,1,True,9,65817,False,29,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,74,6,121,555,51,55,69,11,120,104,100,True
OC1_393026470,2103,100,1,9,104295,31606,910,2104,608,61866,79,424,381,220,192,124,35,18,True,1,False,0,False,0,False,4,32432,True,39,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,74,6,121,555,51,55,69,11,120,104,200,False
OC1_393012813,2361,152,5,10,89779,39737,985,1007,719,70707,84,397,720,196,396,53,20,38,True,1,False,2,True,2,False,9,64079,True,30,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,19,58,99,11,134,876,51,360,90,28,100,True
OC1_393012813,2361,130,6,26,82032,40216,1078,873,490,58611,74,419,465,241,155,48,21,38,False,0,True,4,False,0,True,3,69444,False,29,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,19,58,99,11,134,876,51,360,90,28,200,False
OC1_392756588,1063,45,3,10,31087,16321,208,472,377,30936,54,1007,365,50,142,14,16,11,False,0,True,1,False,0,True,1,23120,True,17,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,122,55,18,238,17,6,777,420,122,200,True
OC1_392756588,1063,28,2,10,30040,15071,378,582,343,27422,49,617,224,149,57,13,18,10,False,0,False,0,False,0,False,1,10020,False,8,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,122,55,18,238,17,6,777,420,122,100,False
OC1_392722245,2200,138,5,13,126728,50996,1340,1246,564,66800,83,700,246,331,200,268,27,35,False,0,True,4,True,1,True,10,56602,False,44,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,25,53,3,266,80,350,238,11,875,10,200,True
OC1_392722245,2200,84,1,8,125049,52957,1664,1427,619,65188,79,414,675,221,416,66,39,26,False,0,False,0,False,0,False,4,28721,True,38,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,25,53,3,266,80,350,238,11,875,10,100,False
OC1_392690699,2051,143,8,21,98432,64364,1181,1147,500,64619,79,584,650,253,174,62,24,35,True,2,True,4,True,1,True,7,77750,False,39,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,104,50,105,22,122,147,22,420,35,17,200,True
OC1_392690699,2051,87,0,6,110186,30640,1170,873,519,56402,75,525,475,345,229,138,28,37,False,0,False,1,False,0,False,4,31041,True,35,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,104,50,105,22,122,147,22,420,35,17,100,False
OC1_392647256,1963,184,9,15,115957,51289,713,1587,579,62632,81,677,279,330,235,102,12,35,True,1,False,4,True,1,False,6,76131,True,45,False,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,53,39,120,777,11,54,32,12,157,111,200,True
OC1_392647256,1963,86,11,25,71644,33014,1275,842,601,55740,74,365,636,136,274,51,23,38,False,0,True,1,False,0,True,5,40958,False,20,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,53,39,120,777,11,54,32,12,157,111,100,False
OC1_392675093,923,40,1,6,29997,13235,213,399,184,29992,46,383,168,95,143,23,10,19,False,0,True,1,False,0,True,3,19806,True,24,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,104,17,134,67,157,7,67,122,81,45,200,True
OC1_392675093,923,37,2,12,24829,6666,492,254,254,22806,43,303,220,67,108,13,14,10,False,0,False,0,False,0,False,0,10709,False,12,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,104,17,134,67,157,7,67,122,81,45,100,False
OC1_400512543,1802,113,12,16,65845,42365,355,459,448,52006,72,448,541,295,260,40,19,33,True,1,True,4,False,0,False,6,72293,True,31,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,350,122,89,63,157,122,11,111,157,238,200,True
OC1_400512543,1802,132,14,24,54577,17907,849,743,520,45427,66,369,430,117,257,27,24,15,False,0,False,0,False,0,True,3,18198,False,12,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,350,122,89,63,157,122,11,111,157,238,100,False
OC1_400295860,1861,83,6,14,85309,35473,499,1270,549,54415,72,481,613,153,294,43,20,16,False,0,False,2,True,1,True,7,47385,False,26,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,420,11,103,202,145,75,11,555,63,84,100,True
OC1_400295860,1861,92,1,17,53670,27330,720,390,629,45806,69,715,493,66,247,35,17,28,False,0,True,2,False,0,False,2,30294,True,16,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,420,11,103,202,145,75,11,555,63,84,200,False
OC1_400248673,1988,136,6,14,103049,52511,818,1285,586,66590,85,685,443,287,530,54,45,19,True,2,False,4,True,3,True,11,106711,False,44,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,157,17,238,11,53,34,99,11,86,360,200,True
OC1_400248673,1988,52,1,13,91176,32583,1362,1009,593,54663,75,352,672,194,136,38,29,20,False,0,True,1,False,0,False,1,16855,True,24,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,157,17,238,11,53,34,99,11,86,360,100,False
OC1_400245082,2483,169,5,12,129816,54171,1150,971,790,76076,87,742,622,540,343,76,46,30,True,1,False,4,False,5,False,11,90144,False,34,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,234,2,74,75,34,11,2,122,50,86,100,True
OC1_400245082,2483,112,5,12,120669,54638,1385,1174,829,76980,85,905,708,257,385,49,35,20,False,0,True,2,True,1,True,6,66505,True,37,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,234,2,74,75,34,11,2,122,50,86,200,False
OC1_400262365,204,1,0,6,1580,1268,8,85,41,5160,12,415,42,7,4,0,1,3,False,0,False,0,False,0,False,0,383,True,1,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,235,83,25,11,34,82,50,119,11,90,100,True
OC1_400262365,204,2,0,7,1536,130,8,54,43,4586,11,741,14,3,11,0,0,3,False,0,False,0,False,0,False,0,0,False,1,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,235,83,25,11,34,82,50,119,11,90,200,False
OC1_400229653,1881,121,5,15,83349,28869,501,1165,465,59997,76,519,442,332,149,39,31,18,True,1,False,3,True,3,False,11,74158,True,41,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,254,11,238,157,51,103,420,99,54,63,200,True
OC1_400229653,1881,119,14,18,68852,22338,1198,606,565,50376,67,442,441,210,189,60,26,18,False,0,True,1,False,0,True,4,21615,False,19,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,254,11,238,157,51,103,420,99,54,63,100,False
OC1_400208624,1620,109,6,17,78778,36993,723,1535,403,54478,68,1044,291,360,193,54,29,16,False,0,True,3,True,1,True,9,53594,True,44,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,33,50,104,202,54,111,105,54,234,11,200,True
OC1_400208624,1620,81,1,5,69017,19825,1115,1233,402,44454,65,693,484,219,200,29,26,18,False,0,False,0,False,0,False,2,21190,False,24,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,33,50,104,202,54,111,105,54,234,11,100,False
OC1_400205884,1252,61,3,12,59833,26808,521,489,371,40819,57,601,332,163,174,26,14,24,False,0,True,2,False,0,True,5,42459,True,33,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,157,18,11,21,122,234,11,163,122,1,100,True
OC1_400205884,1252,47,4,16,53159,13482,722,545,303,33659,56,752,403,117,125,20,22,12,False,0,False,0,False,0,False,0,4882,False,21,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,157,18,11,21,122,234,11,163,122,1,200,False
OC1_400121425,2143,184,11,17,103199,38942,714,2139,615,66432,83,587,517,416,469,95,34,23,True,1,True,5,True,2,False,10,74894,True,34,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,420,147,35,60,157,157,105,145,11,523,100,True
OC1_400121425,2143,94,1,10,88030,24303,1122,938,608,53285,74,512,684,206,290,55,34,17,False,0,False,1,False,0,True,2,17563,False,21,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,420,147,35,60,157,157,105,145,11,523,200,False
OC1_400095444,1658,108,6,17,71073,45110,620,907,477,51136,71,498,651,155,282,28,27,21,False,0,True,4,True,1,True,7,55946,False,28,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,238,145,350,234,427,6,555,238,202,100,True
OC1_400095444,1658,96,5,17,61992,19278,871,1072,477,43973,66,337,261,243,122,92,25,20,False,0,False,0,False,0,False,2,17424,True,21,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,238,145,350,234,427,6,555,238,202,200,False
OC1_400081211,1844,97,2,11,118311,44171,842,567,466,60738,72,703,517,173,194,66,31,24,False,0,True,3,True,1,True,6,39496,True,53,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,63,58,202,105,202,11,25,122,157,100,True
OC1_400081211,1844,92,5,11,94348,30759,1339,1118,453,51787,68,584,475,223,348,56,22,41,False,0,False,0,False,0,False,1,18626,False,29,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,63,58,202,105,202,11,25,122,157,200,False
OC1_400007386,2041,144,6,17,103412,39889,1203,1384,522,69391,81,1422,414,186,142,150,30,21,True,2,True,4,True,2,False,8,96454,True,39,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,111,103,141,89,350,105,412,80,11,157,200,True
OC1_400007386,2041,58,2,13,80745,35532,1158,818,616,61700,74,666,485,339,147,46,20,13,False,0,False,1,False,0,True,4,40808,False,36,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,111,103,141,89,350,105,412,80,11,157,100,False
OC1_399974599,1651,48,0,4,73832,16879,419,1099,454,47447,67,423,315,191,224,60,13,30,False,0,False,2,False,0,False,3,32709,True,28,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,105,11,75,157,111,555,122,7,53,11,100,True
OC1_399974599,1651,80,3,15,51075,26701,602,987,436,42098,63,566,435,175,171,35,24,14,False,0,True,2,False,0,True,4,43968,False,15,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,105,11,75,157,111,555,122,7,53,11,200,False
OC1_399971564,1495,89,6,33,69799,31341,252,942,401,43412,65,798,463,160,279,33,27,16,False,0,True,3,True,1,True,5,42706,False,27,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,238,145,122,77,51,74,122,57,11,236,200,True
OC1_399971564,1495,65,2,6,41014,24291,863,937,481,35268,59,535,440,126,152,33,20,16,False,0,False,0,False,0,False,1,13174,True,9,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,238,145,122,77,51,74,122,57,11,236,100,False
OC1_399938899,1213,71,5,13,34317,14357,71,782,372,36289,55,786,280,87,221,32,15,8,False,0,True,2,True,1,True,8,41614,True,16,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,25,67,7,23,121,58,145,53,55,11,100,True
OC1_399938899,1213,29,4,11,14318,6429,342,386,295,24144,48,500,270,94,79,8,12,8,False,0,False,0,False,0,False,0,2117,False,2,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,25,67,7,23,121,58,145,53,55,11,200,False
OC1_399945201,1886,119,6,15,95546,33131,630,1182,539,60073,78,944,463,332,270,56,24,34,True,1,True,5,True,2,False,7,75193,True,41,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,63,11,28,266,157,122,11,101,238,63,200,True
OC1_399945201,1886,96,6,14,81546,34356,1152,978,478,51963,67,507,362,203,264,45,23,24,False,0,False,0,False,0,True,6,27970,False,23,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,63,11,28,266,157,122,11,101,238,63,100,False
OC1_399950145,2782,188,6,23,163843,65830,2157,1991,734,87390,89,762,598,285,300,78,33,55,False,0,True,2,True,3,True,10,81501,True,55,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,55,63,9,555,35,55,111,67,164,11,200,True
OC1_399950145,2782,160,2,12,184229,49760,2260,1489,796,85581,90,937,696,274,419,73,51,35,True,1,False,4,False,0,False,6,66626,False,51,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,55,63,9,555,35,55,111,67,164,11,100,False
OC1_399897903,1212,80,2,15,53381,14691,292,1445,417,37725,57,492,274,121,155,34,24,13,False,0,False,1,False,0,True,4,42916,False,23,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,157,3,234,238,420,89,238,11,360,122,100,True
OC1_399897903,1212,42,4,10,33545,26648,573,523,322,30691,53,473,349,100,182,16,23,13,False,0,True,2,False,0,False,0,18946,True,13,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,157,3,234,238,420,89,238,11,360,122,200,False
OC1_399894816,1775,95,4,18,61906,27602,273,785,583,53752,73,469,458,199,153,84,14,29,True,1,True,3,True,2,False,9,54193,True,25,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,31,555,164,145,157,11,18,360,25,122,100,True
OC1_399894816,1775,84,6,18,47611,19749,729,650,511,41577,64,362,457,197,233,44,23,16,False,0,False,1,False,0,True,1,19666,False,11,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,31,555,164,145,157,11,18,360,25,122,200,False
OC1_399891557,1920,132,10,16,109242,38489,895,1950,476,63925,77,510,447,160,202,49,27,15,True,1,True,5,True,2,True,10,87588,False,43,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,202,105,238,122,157,266,28,555,51,100,True
OC1_399891557,1920,95,0,12,87727,31572,1324,701,486,51366,67,444,362,162,327,56,40,25,False,0,False,0,False,0,False,2,13373,True,27,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,202,105,238,122,157,266,28,555,51,200,False
OC1_411100312,1301,68,4,9,53867,17351,407,666,359,41116,57,427,454,98,229,25,14,25,False,0,True,2,False,0,True,5,43439,True,26,True,1,86,19,777,360,99,17,113,245,18,25,51,122,-1,11,89,420,45,53,67,111,100,True
OC1_411100312,1301,81,5,17,41600,10265,559,676,275,29589,52,602,181,139,96,37,21,14,False,0,False,1,False,0,False,0,4035,False,14,False,0,17,113,245,18,25,86,19,777,360,99,51,122,-1,11,89,420,45,53,67,111,200,False
OC1_411099043,213,5,0,6,1994,1507,6,124,37,4703,14,423,27,3,21,0,1,2,False,0,False,0,False,0,False,0,0,False,0,False,0,54,20,99,15,32,17,141,45,21,111,157,121,29,35,420,82,119,67,8,25,100,True
OC1_411099043,213,1,0,7,2587,1479,0,66,37,5168,12,614,37,5,11,0,3,3,False,0,False,0,False,0,False,0,0,True,1,False,0,17,141,45,21,111,54,20,99,15,32,157,121,29,35,420,82,119,67,8,25,200,False
OC1_410797852,1606,117,8,16,60044,31509,336,1174,466,48115,68,455,259,188,218,83,23,17,True,1,True,4,False,0,False,3,49111,True,23,False,0,17,20,80,236,555,83,141,105,51,101,35,84,202,25,74,19,157,147,82,21,200,True
OC1_410797852,1606,86,2,9,42291,15371,676,577,452,38487,60,650,332,195,134,35,26,14,False,0,False,0,False,0,True,4,24021,False,10,True,1,83,141,105,51,101,17,20,80,236,555,35,84,202,25,74,19,157,147,82,21,100,False
OC1_408434136,1771,101,6,30,88697,35811,569,1450,487,56009,73,802,487,251,219,114,31,28,True,1,False,3,True,2,False,10,75172,True,38,False,1,75,19,25,498,35,11,141,238,145,235,114,28,53,55,360,777,29,67,33,63,200,True
OC1_408434136,1771,92,5,12,75721,25249,1056,564,437,43562,63,789,310,197,215,46,29,20,False,0,True,1,False,0,True,1,14081,False,23,True,1,11,141,238,145,235,75,19,25,498,35,114,28,53,55,360,777,29,67,33,63,100,False
OC1_408115621,2010,146,5,10,146241,28608,1171,1168,556,67345,79,648,490,273,219,106,36,22,False,0,True,1,True,3,True,11,42694,False,57,True,1,875,427,134,145,25,106,245,3,18,555,238,99,67,23,147,235,238,4,24,420,100,True
OC1_408115621,2010,110,10,28,100713,31702,1743,1256,544,60583,76,774,353,237,277,45,41,31,False,0,False,2,False,0,False,4,28463,True,38,False,0,106,245,3,18,555,875,427,134,145,25,238,99,67,23,147,235,238,4,24,420,200,False
OC1_408077585,2206,106,1,16,139015,72779,1282,1393,504,71042,84,602,557,275,380,84,40,31,True,1,True,4,True,2,False,9,65806,False,59,True,1,86,154,157,202,89,67,141,74,21,54,122,105,75,145,236,122,24,-1,238,25,100,True
OC1_408077585,2206,102,1,31,129958,35639,1868,2252,665,65872,80,802,449,358,242,70,39,20,False,0,False,1,False,0,True,4,30046,True,34,False,0,67,141,74,21,54,86,154,157,202,89,122,105,75,145,236,122,24,-1,238,25,200,False
OC1_407901264,623,17,1,8,16701,7155,83,331,174,18975,37,513,88,77,55,11,10,5,False,0,False,0,False,0,False,0,5865,True,12,False,0,17,141,90,5,12,62,20,234,22,235,67,98,25,63,-1,11,202,238,35,122,200,True
OC1_407901264,623,12,4,10,9550,8659,172,499,129,15357,30,486,96,66,78,1,8,7,False,0,True,1,False,0,False,0,7541,False,6,False,0,62,20,234,22,235,17,141,90,5,12,67,98,25,63,-1,11,202,238,35,122,100,False
OC1_407843419,1168,68,2,12,34453,10590,114,406,443,37381,56,440,207,101,168,52,22,11,False,0,False,1,True,1,True,8,41824,True,22,True,1,429,427,238,202,53,74,75,58,222,143,89,31,67,21,86,67,63,11,777,9,200,True
OC1_407843419,1168,66,7,14,26074,8040,401,586,279,24097,48,666,178,127,146,17,20,12,False,0,True,1,False,0,False,0,10125,False,5,False,0,74,75,58,222,143,429,427,238,202,53,89,31,67,21,86,67,63,11,777,9,100,False
OC1_407537182,2195,149,6,16,81411,34007,1065,1389,649,61314,77,605,487,334,326,87,40,21,False,0,True,2,False,1,False,7,45273,True,29,False,0,10,35,777,202,161,104,427,63,22,54,18,120,122,555,55,136,5,238,75,555,200,True
OC1_407537182,2195,127,6,15,92294,23047,919,1737,505,60471,75,744,276,302,246,209,39,22,True,1,False,3,True,1,True,6,58025,False,31,True,1,104,427,63,22,54,10,35,777,202,161,18,120,122,555,55,136,5,238,75,555,100,False
OC1_407504219,771,34,5,14,17635,10459,54,305,271,24356,43,578,174,28,43,11,12,8,False,0,True,1,False,0,True,1,22047,True,13,True,1,875,19,55,67,89,86,427,90,498,267,17,238,58,63,11,24,75,29,121,34,200,True
OC1_407504219,771,35,3,9,10843,2229,188,197,162,15846,36,1078,76,56,42,5,11,9,False,0,False,0,False,0,False,0,931,False,3,False,0,86,427,90,498,267,875,19,55,67,89,17,238,58,63,11,24,75,29,121,34,100,False
OC1_407355439,1490,86,10,12,76826,52865,410,793,446,49778,67,526,445,160,236,29,28,20,False,0,True,3,True,1,True,9,63207,True,40,True,2,114,5,8,21,147,102,427,777,51,63,11,119,38,35,122,105,22,420,81,67,200,True
OC1_407355439,1490,75,6,15,55246,11664,1065,349,375,35662,60,422,351,233,191,130,23,18,False,0,False,0,False,0,False,0,8406,False,13,False,0,102,427,777,51,63,114,5,8,21,147,11,119,38,35,122,105,22,420,81,67,100,False
OC1_406894943,1770,124,13,26,85606,30121,910,656,536,56446,72,450,393,214,189,96,30,19,False,0,True,4,True,2,True,10,70795,False,35,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,84,89,202,157,86,34,33,145,420,67,100,True
OC1_406894943,1770,114,4,14,72665,23046,1029,500,476,52429,71,540,314,225,254,153,20,29,True,1,False,0,False,0,False,3,29456,True,30,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,84,89,202,157,86,34,33,145,420,67,200,False
OC1_406849270,2157,116,6,13,114317,68072,541,648,523,62504,76,472,609,267,350,63,41,25,False,1,True,4,True,2,True,10,78126,True,39,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,555,11,202,235,238,17,7,25,51,67,100,True
OC1_406849270,2157,132,4,14,74902,54580,1013,1039,560,54435,73,868,464,209,259,48,34,18,True,1,False,1,False,0,False,3,34063,False,15,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,555,11,202,235,238,17,7,25,51,67,200,False
OC1_406636527,1462,101,4,8,63377,28277,475,854,458,47039,65,1189,490,149,266,21,20,13,False,0,False,2,True,1,True,8,44630,False,27,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,11,555,64,51,84,238,67,89,77,62,100,True
OC1_406636527,1462,84,10,24,49235,17753,780,271,378,35627,58,485,265,180,123,25,23,8,False,0,True,1,False,0,False,1,15815,True,16,True,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,11,555,64,51,84,238,67,89,77,62,200,False
OC1_406387148,1388,64,4,7,57064,23997,237,536,398,46836,65,494,488,211,177,38,15,24,True,1,True,3,True,2,True,7,71639,True,32,False,1,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,777,99,89,77,82,202,157,6,67,25,200,True
OC1_406387148,1388,72,3,19,40213,16870,725,762,338,32796,54,733,345,195,92,25,20,15,False,0,False,0,False,0,False,1,13829,False,9,True,1,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,777,99,89,77,82,202,157,6,67,25,100,False
OC1_406242907,1455,105,10,23,47095,25042,318,579,389,39654,56,608,333,189,190,24,20,15,False,0,True,3,True,1,False,5,48843,True,19,True,2,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,238,81,53,17,67,234,141,39,80,412,200,True
OC1_406242907,1455,80,3,8,34703,16501,473,851,409,37463,58,369,268,102,165,20,11,21,False,0,False,0,False,0,True,1,13384,False,11,False,0,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,238,81,53,17,67,234,141,39,80,412,100,False
OC1_405954457,1412,67,2,12,60710,36044,476,593,372,45507,61,512,360,190,228,20,14,24,False,0,False,2,True,2,True,10,58015,True,34,True,2,37225015,37290552,37356089,37421626,37487163,37552700,37618237,37683774,37749311,37814848,56,131,82,39,81,51,35,67,555,122,100,True
OC1_405954457,1412,51,0,8,50357,15824,810,618,292,34676,53,674,296,119,227,49,25,16,False,0,True,1,False,0,False,0,8390,False,16,False,0,37552700,37618237,37683774,37749311,37814848,37225015,37290552,37356089,37421626,37487163,56,131,82,39,81,51,35,67,555,122,200,False
