matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_489581977,1527,139,13,22,74919,29366,445,950,540,52011,66,1257,447,242,322,97,19,28,True,1,True,2,True,1,True,9,68809,True,26,True,2,10,64,112,202,16,86,154,99,498,235,350,266,234,32,9,711,350,236,245,17,100,True
OC1_489581977,1527,127,13,19,61377,39647,586,1025,482,41450,61,2093,209,245,261,37,19,28,False,0,False,1,False,0,False,1,14646,False,17,False,0,86,154,99,498,235,10,64,112,202,16,350,266,234,32,9,711,350,236,245,17,200,False
OC1_489499901,1277,85,11,18,55283,8291,274,769,484,47262,62,886,529,105,195,33,13,24,False,0,True,3,True,2,True,10,64770,False,26,True,2,75,104,157,21,412,164,254,7,523,35,246,166,54,350,121,238,245,23,223,350,200,True
OC1_489499901,1277,94,11,21,45392,9016,651,643,423,35226,55,1119,307,213,187,86,21,17,False,0,False,0,False,0,False,1,9970,True,13,False,0,164,254,7,523,35,75,104,157,21,412,246,166,54,350,121,238,245,23,223,350,100,False
OC1_489518073,1244,90,10,16,84658,23832,334,621,453,56116,67,1967,776,153,352,33,18,22,False,0,True,3,True,3,True,11,47032,True,50,False,0,10,30,238,81,235,122,246,7,523,497,121,39,67,24,350,350,117,69,245,517,100,True
OC1_489518073,1244,78,16,22,43672,9823,1027,256,338,30940,54,1411,216,284,118,39,28,19,False,0,False,0,False,0,False,0,12216,False,14,True,1,122,246,7,523,497,10,30,238,81,235,121,39,67,24,350,350,117,69,245,517,200,False
OC1_489484103,1313,117,17,23,53535,17131,277,848,506,40275,60,1148,308,211,270,43,21,17,False,0,True,3,False,0,True,3,47476,True,23,True,2,74,20,1,29,412,62,245,42,222,25,9,875,117,166,39,350,157,54,104,875,200,True
OC1_489484103,1313,108,9,15,33853,14428,585,719,474,35760,56,1352,303,137,156,104,28,16,False,0,False,0,False,0,False,0,7309,False,13,False,0,62,245,42,222,25,74,20,1,29,412,9,875,117,166,39,350,157,54,104,875,100,False
OC1_489396481,1300,76,5,14,75886,9097,310,858,480,50762,60,794,240,135,219,26,20,28,False,0,True,1,False,2,True,10,51070,False,64,True,2,10,78,105,51,497,14,27,26,222,40,141,114,246,-1,166,267,421,164,350,119,100,True
OC1_489396481,1300,71,10,14,31467,5768,914,850,362,36520,51,1286,282,160,144,20,20,21,False,0,False,0,True,1,False,5,19147,True,13,False,0,14,27,26,222,40,10,78,105,51,497,141,114,246,-1,166,267,421,164,350,119,200,False
OC1_489365983,1496,125,8,15,75274,27273,370,1205,548,55032,72,2195,470,296,319,113,30,16,True,1,True,4,True,3,True,11,78964,True,34,True,1,266,35,238,222,143,39,246,236,360,526,104,114,711,350,90,166,104,90,23,164,100,True
OC1_489365983,1496,91,9,13,48825,11749,835,351,597,41913,64,1345,521,205,183,31,20,25,False,0,False,0,False,0,False,1,8263,False,13,False,0,39,246,236,360,526,266,35,238,222,143,104,114,711,350,90,166,104,90,23,164,200,False
OC1_489393950,1657,130,14,23,88589,28221,482,715,614,62746,77,1203,867,198,439,36,30,19,True,1,False,2,True,3,False,11,76270,False,43,True,1,23,28,13,222,29,17,246,157,145,235,267,245,350,777,266,166,238,164,141,21,100,True
OC1_489393950,1657,118,7,16,74551,19389,1226,698,598,48655,66,749,544,251,225,74,29,22,False,0,True,1,False,0,True,2,22208,True,17,False,0,17,246,157,145,235,23,28,13,222,29,267,245,350,777,266,166,238,164,141,21,200,False
OC1_489372670,1883,135,7,14,97728,33902,913,540,809,69167,83,880,836,583,341,335,22,40,False,1,True,5,False,2,True,9,89121,False,35,False,1,76,122,777,32,236,164,11,1,222,43,57,234,39,350,53,875,53,25,246,350,200,True
OC1_489372670,1883,176,15,23,95169,16849,1017,692,625,60629,75,1050,551,186,315,87,39,18,True,1,False,0,True,2,False,8,51762,True,32,True,1,164,11,1,222,43,76,122,777,32,236,57,234,39,350,53,875,53,25,246,350,100,False
OC1_489370721,1191,80,8,17,53404,18157,226,809,466,42063,56,1350,335,133,206,25,20,14,False,0,True,2,True,1,True,6,44594,True,25,False,1,98,203,517,21,12,164,5,27,222,89,25,711,157,122,246,25,350,38,875,54,200,True
OC1_489370721,1191,70,10,14,38945,12071,601,566,377,29756,50,1780,302,134,87,19,23,14,False,0,False,1,False,0,False,0,13882,False,10,True,1,164,5,27,222,89,98,203,517,21,12,25,711,157,122,246,25,350,38,875,54,100,False
OC1_489349734,915,53,9,14,36695,4547,86,856,399,35819,51,1481,159,102,199,25,12,17,False,0,True,2,False,0,True,3,21253,True,26,False,0,516,29,99,222,117,126,141,10,21,89,236,121,350,875,104,711,34,267,238,39,200,True
OC1_489349734,915,53,7,12,20347,6618,407,371,333,22969,43,856,170,98,112,72,18,12,False,0,False,0,False,0,False,0,3197,False,6,False,0,126,141,10,21,89,516,29,99,222,117,236,121,350,875,104,711,34,267,238,39,100,False
OC1_490529661,2362,216,24,39,170165,56351,1569,1315,657,75916,86,1205,691,310,353,77,28,43,False,0,False,3,True,2,True,8,65370,False,47,True,2,875,876,238,67,40,85,120,245,222,89,164,104,54,114,777,104,25,711,23,7,100,True
OC1_490529661,2362,147,7,18,144825,45303,1728,972,716,77857,88,804,812,273,348,61,43,34,True,2,True,2,False,0,False,6,84697,True,43,False,0,85,120,245,222,89,875,876,238,67,40,164,104,54,114,777,104,25,711,23,7,200,False
OC1_490556903,1814,140,13,25,128924,30374,1146,913,651,67332,81,1131,599,408,375,60,23,37,True,1,True,4,True,1,True,10,82929,True,49,False,0,85,64,238,222,89,75,120,8,22,99,23,54,104,114,25,711,777,117,246,24,200,True
OC1_490556903,1814,114,4,13,107108,48652,1405,1071,599,56037,75,1098,804,176,294,56,39,25,False,0,False,0,False,0,False,1,30593,False,31,True,1,75,120,8,22,99,85,64,238,222,89,23,54,104,114,25,711,777,117,246,24,100,False
OC1_490546816,1501,126,16,25,77011,15158,477,678,673,56492,73,1314,1045,184,282,38,27,19,True,1,True,2,True,2,True,10,61924,True,32,True,1,39,28,777,63,111,114,876,238,81,497,32,350,555,17,104,236,350,54,117,23,200,True
OC1_490546816,1501,114,14,24,54576,21795,815,574,598,44702,65,1166,539,150,219,43,19,32,False,0,False,1,False,0,False,1,12248,False,20,False,0,114,876,238,81,497,39,28,777,63,111,32,350,555,17,104,236,350,54,117,23,100,False
OC1_490531616,2023,186,19,29,129800,33435,1037,1616,680,68299,80,1445,465,376,320,93,21,38,True,1,True,3,True,3,True,11,95885,True,38,True,2,31,104,7,236,497,98,131,157,202,412,777,122,164,350,166,267,89,54,166,164,200,True
OC1_490531616,2023,179,18,28,103082,27823,1065,1311,746,60489,78,1843,657,206,302,84,40,20,False,0,False,2,False,0,False,2,29332,False,30,False,0,98,131,157,202,412,31,104,7,236,497,777,122,164,350,166,267,89,54,166,164,100,False
OC1_490283715,2285,180,13,22,139384,60244,1353,1427,868,83142,88,994,835,328,269,76,23,41,False,0,False,3,False,1,True,8,61442,False,52,True,1,62,5,234,81,111,14,64,38,115,89,777,246,105,350,67,104,164,236,246,119,200,True
OC1_490283715,2285,196,20,28,153290,22590,1529,2513,725,79009,85,1658,697,483,417,224,27,49,True,3,True,3,True,3,False,9,115836,True,42,False,1,14,64,38,115,89,62,5,234,81,111,777,246,105,350,67,104,164,236,246,119,100,False
OC1_490103377,1630,120,9,18,111497,33174,984,644,496,66131,78,1712,637,270,220,56,29,25,True,1,True,4,True,4,True,11,78196,True,53,True,1,82,203,777,202,117,150,30,166,145,555,245,39,246,164,267,350,23,91,21,-1,100,True
OC1_490103377,1630,75,3,10,91388,14750,1350,861,557,59163,70,1383,820,131,379,46,30,21,False,0,False,0,False,0,False,1,14124,False,35,False,0,150,30,166,145,555,82,203,777,202,117,245,39,246,164,267,350,23,91,21,-1,200,False
OC1_489713418,1660,158,8,14,78907,14417,380,971,666,62230,76,1768,536,308,324,64,25,15,True,1,True,3,True,4,True,11,80183,True,31,False,1,777,102,90,119,43,34,203,104,81,267,517,53,1,114,24,-1,84,157,350,25,100,True
OC1_489713418,1660,131,14,24,48283,19395,828,1778,659,44804,67,1253,594,182,245,128,20,15,False,0,False,1,False,0,False,1,22106,False,12,True,1,34,203,104,81,267,777,102,90,119,43,517,53,1,114,24,-1,84,157,350,25,200,False
OC1_489307523,1678,131,19,25,96011,46439,1004,1008,523,56956,74,1460,339,269,192,46,20,35,True,1,True,2,False,2,False,6,49115,False,34,False,1,875,154,104,67,63,98,56,777,222,412,114,236,91,238,122,-1,350,246,157,267,100,True
OC1_489307523,1678,147,11,20,90835,21772,1054,1190,555,53880,67,1642,632,193,172,56,17,34,False,0,False,1,True,1,True,6,44230,True,35,True,1,98,56,777,222,412,875,154,104,67,63,114,236,91,238,122,-1,350,246,157,267,200,False
OC1_490566039,1345,115,12,18,52909,13599,183,683,493,45586,63,2004,665,198,220,41,25,14,True,1,False,2,True,3,True,11,104726,True,15,True,2,164,121,142,115,412,24,104,84,81,350,17,7,203,21,246,147,157,17,131,267,100,True
OC1_490566039,1345,66,10,16,31214,16683,307,521,509,34192,60,1552,457,308,153,32,12,20,False,0,True,1,False,0,False,1,14720,False,6,False,0,24,104,84,81,350,164,121,142,115,412,17,7,203,21,246,147,157,17,131,267,200,False
OC1_488373017,2611,283,39,56,163774,60211,2038,1032,972,94625,90,1541,866,288,748,64,30,42,True,4,True,2,False,2,False,11,138215,True,46,False,1,114,203,69,21,32,150,107,20,15,25,54,122,7,9,-1,157,39,91,166,34,200,True
OC1_488373017,2611,276,31,46,166364,52186,1869,1396,852,87903,89,800,754,437,438,58,27,37,False,0,False,5,True,3,True,10,95951,False,47,True,1,150,107,20,15,25,114,203,69,21,32,54,122,7,9,-1,157,39,91,166,34,100,False
