matchId,gameDuration,visionScore,wardsBought,consumablesPurchased,damageDealtToChampions,totalHealing,timeSpentDead,ccTimeDealt,minionKills,totalGold,championLevel,summonerLevel,spell1Casts,spell2Casts,spell3Casts,spell4Casts,summoner1Casts,summoner2Casts,firstBaron,baronKills,firstDragon,dragonKills,firstInhibitor,inhibitorKills,firstTower,towerKills,damageToObjectives,firstBlood,championKills,firstRiftHerald,riftHeraldKills,champion1,champion2,champion3,champion4,champion5,enemyChampion1,enemyChampion2,enemyChampion3,enemyChampion4,enemyChampion5,1ban1,1ban2,1ban3,1ban4,1ban5,2ban1,2ban2,2ban3,2ban4,2ban5,teamId,win
OC1_490615959,2517,207,19,29,144169,37227,1507,915,789,78113,88,1179,1052,380,413,66,52,32,True,1,True,4,True,2,False,7,92711,True,43,True,1,777,64,157,115,12,887,246,238,236,267,103,55,89,122,23,711,245,350,555,23,200,True
OC1_490615959,2517,242,12,20,129246,44377,1571,1103,798,79821,86,550,594,505,450,96,47,28,False,1,False,1,False,0,True,5,76692,False,43,False,0,887,246,238,236,267,777,64,157,115,12,103,55,89,122,23,711,245,350,555,23,100,False
OC1_490625155,1716,117,13,26,82881,33892,340,1273,624,57918,75,1339,466,385,137,56,18,30,True,1,True,4,True,4,True,11,83054,True,27,True,2,122,5,101,51,26,104,64,8,145,235,17,517,-1,50,77,-1,157,711,350,23,100,True
OC1_490625155,1716,117,10,16,57213,37506,729,920,654,46944,70,1136,600,208,269,27,34,15,False,0,False,0,False,0,False,1,15803,False,13,False,0,104,64,8,145,235,122,5,101,51,26,17,517,-1,50,77,-1,157,711,350,23,200,False
OC1_490631891,1899,162,5,13,123267,12175,1176,1319,594,65444,82,994,1061,286,435,78,25,38,True,1,False,3,True,1,True,6,52275,True,45,True,1,85,30,13,22,101,82,120,711,222,12,54,39,238,777,104,238,350,105,164,32,100,True
OC1_490631891,1899,163,20,29,86232,28338,1354,984,588,58563,76,1013,572,182,209,62,27,34,False,0,True,2,False,0,False,4,48730,False,38,False,0,82,120,711,222,12,85,30,13,22,101,54,39,238,777,104,238,350,105,164,32,200,False
OC1_490537223,1776,137,14,28,86886,36518,726,1723,569,60855,75,713,915,258,392,48,39,23,True,1,True,3,True,3,False,11,60621,True,32,True,1,36,64,157,81,50,39,79,80,51,63,223,28,56,711,23,777,104,7,875,555,100,True
OC1_490537223,1776,142,15,18,95895,30746,1017,650,601,51750,71,912,631,312,215,39,22,27,False,0,False,1,False,0,True,2,37559,False,24,False,0,39,79,80,51,63,36,64,157,81,50,223,28,56,711,23,777,104,7,875,555,200,False
OC1_490506852,1872,176,15,30,97733,37720,491,637,581,59580,79,791,653,361,305,42,36,23,True,1,True,4,True,2,True,11,75875,False,35,True,1,164,64,55,15,89,14,234,246,202,101,23,24,236,8,25,39,21,7,23,104,100,True
OC1_490506852,1872,131,11,14,84072,13894,1159,1200,577,49526,70,1133,446,354,172,79,19,29,False,0,False,0,False,0,False,3,31674,True,16,False,0,14,234,246,202,101,164,64,55,15,89,23,24,236,8,25,39,21,7,23,104,200,False
OC1_490515700,1731,121,8,14,98515,54895,650,847,523,60099,75,637,679,266,296,44,36,20,True,1,False,2,True,2,False,9,61224,False,36,False,1,234,120,41,102,16,55,19,58,101,81,104,777,25,67,23,29,8,67,36,106,100,True
OC1_490515700,1731,116,11,20,93980,28415,1089,588,492,47642,66,1010,494,163,145,59,25,22,False,0,True,2,False,0,True,2,30983,True,23,True,1,55,19,58,101,81,234,120,41,102,16,104,777,25,67,23,29,8,67,36,106,200,False
OC1_490486958,2020,145,15,25,95909,22865,935,1289,657,66762,82,1015,676,294,463,97,40,21,True,1,True,3,True,1,True,9,67844,True,38,False,0,17,64,157,99,25,246,33,7,119,45,238,39,23,120,711,55,360,104,245,23,200,True
OC1_490486958,2020,155,12,23,82024,16600,1207,867,603,55852,73,573,400,555,155,62,25,37,False,0,False,2,False,0,False,3,37040,False,28,True,1,246,33,7,119,45,17,64,157,99,25,238,39,23,120,711,55,360,104,245,23,100,False
OC1_490389432,2125,181,19,31,157357,40974,1775,1282,647,77234,85,964,711,395,463,66,24,44,True,3,False,2,True,3,True,10,93212,True,48,True,1,104,64,39,236,267,141,234,8,119,412,11,50,166,238,23,711,23,202,517,82,100,True
OC1_490389432,2125,169,19,31,141728,70239,1549,1681,754,73550,86,1227,852,388,320,86,46,30,False,0,True,3,False,1,False,5,43971,False,48,False,0,141,234,8,119,412,104,64,39,236,267,11,50,166,238,23,711,23,202,517,82,200,False
OC1_490369972,1712,131,12,21,85212,39012,516,649,585,54944,71,702,547,170,370,147,36,18,False,0,True,3,True,2,True,10,74341,True,32,False,0,8,89,1,115,23,86,234,55,202,63,39,111,350,875,11,9,29,777,25,157,200,True
OC1_490369972,1712,116,13,15,52470,13780,837,522,553,48336,67,621,422,233,165,68,34,23,False,0,False,1,False,0,False,3,33655,False,18,True,2,86,234,55,202,63,8,89,1,115,23,39,111,350,875,11,9,29,777,25,157,100,False
OC1_490387688,1335,79,8,18,55418,27381,194,1462,491,44577,63,967,430,299,281,33,11,23,False,0,False,1,True,1,True,8,39795,True,26,True,1,223,64,517,51,37,14,56,7,202,43,30,119,90,83,53,360,-1,39,25,9,200,True
OC1_490387688,1335,73,8,15,35874,10292,638,1083,370,32933,54,1524,256,129,116,66,23,12,False,0,True,1,False,0,False,2,20507,False,11,False,0,14,56,7,202,43,223,64,517,51,37,30,119,90,83,53,360,-1,39,25,9,100,False
